,accuracy,corr
no1,0.7446666666666667,0.6106267276371116
no2,0.25933333333333336,0.5129431755102101
no3,0.7053333333333334,0.5552890205807013
no4,0.5793333333333334,0.4747846590839365
no5,0.25933333333333336,0.5129431755102101
no6,0.466,0.35550942316468537
no7,0.5806666666666667,0.42343013277157987
no8,0.5793333333333334,0.4747846590839365
no9,0.5793333333333334,0.4747846590839365
no10,0.5853333333333334,0.3896915019104696
no11,0.7446666666666667,0.6106267276371116
no12,0.25933333333333336,0.5129431755102101
no13,0.25933333333333336,0.5129431755102101
no14,0.25933333333333336,0.5129431755102101
no15,0.38133333333333336,0.32412858837703157
no16,0.256,0.3732989545752892
no17,0.31733333333333336,0.4236618491761037
no18,0.266,0.3919191873722376
no19,0.254,0.32494256475179867
no20,0.25933333333333336,0.5129431755102101
no21,0.6453333333333333,0.47161715831438517
no22,0.25933333333333336,0.5129431755102101
no23,0.49533333333333335,0.5469353995720077
no24,0.5793333333333334,0.4747846590839365
no25,0.7446666666666667,0.6106267276371116
total,0.5793333333333334,0.4747846590839365
reliable,0.25933333333333336,0.5129431755102101
no10_aug,0.7446666666666667,0.6106267276371116
no11_aug,0.7446666666666667,0.6106267276371116
no12_aug,0.25933333333333336,0.5129431755102101
no13_aug,0.5773333333333334,0.5845389350258506
no14_aug,0.7446666666666667,0.6106267276371116
no15_aug,0.7446666666666667,0.6106267276371116
no16_aug,0.25933333333333336,0.5129431755102101
no17_aug,0.25933333333333336,0.5129431755102101
no18_aug,0.3446666666666667,0.22994731202785257
no19_aug,0.25733333333333336,0.4789659306044427
no1_aug,0.7413333333333333,0.6286138830939633
no20_aug,0.6146666666666667,0.5235191256868615
no21_aug,0.59,0.3784751288202346
no22_aug,0.5633333333333334,0.48019334447533
no23_aug,0.5793333333333334,0.463634689660047
no24_aug,0.7446666666666667,0.6106267276371116
no25_aug,0.7446666666666667,0.6106267276371116
no2_aug,0.25933333333333336,0.5129431755102101
no3_aug,0.7106666666666667,0.5634842957927998
no4_aug,0.5793333333333334,0.4747846590839365
no5_aug,0.25933333333333336,0.5129431755102101
no6_aug,0.5806666666666667,0.42343013277157987
no7_aug,0.254,0.32504246767359773
no8_aug,0.5826666666666667,0.5636571977801963
no9_aug,0.7446666666666667,0.6106267276371116
reliable_aug,0.25466666666666665,0.37743113721927013
total_aug,0.58,0.46459599220364106
