,accuracy,corr
no1,0.5793333333333334,0.4747846590839365
no2,0.14133333333333334,
no3,0.6866666666666666,0.4540236876224909
no4,0.14133333333333334,
no5,0.14133333333333334,
no6,0.14133333333333334,
no7,0.14133333333333334,
no8,0.14133333333333334,
no9,0.14133333333333334,
no10,0.15933333333333333,0.3868446413903933
no11,0.14133333333333334,
no12,0.134,-0.09427016989565709
no13,0.14133333333333334,
no14,0.126,0.19663702405450592
no15,0.14133333333333334,
no16,0.742,0.5722739563907088
no17,0.14133333333333334,
no18,0.14133333333333334,
no19,0.14133333333333334,
no20,0.112,0.38016668911347773
no21,0.7433333333333333,0.6150733812656579
no22,0.14133333333333334,
no23,0.25933333333333336,0.5129431755102101
no24,0.14133333333333334,
no25,0.14133333333333334,
total,0.14133333333333334,
reliable,0.14133333333333334,
no10_aug,0.14133333333333334,
no11_aug,0.14133333333333334,
no12_aug,0.112,0.32443096530900817
no13_aug,0.14133333333333334,
no14_aug,0.10466666666666667,0.3100499257903725
no15_aug,0.14133333333333334,
no16_aug,0.7446666666666667,0.6106267276371116
no17_aug,0.5133333333333333,0.4178084276389135
no18_aug,0.14133333333333334,
no19_aug,0.14133333333333334,
no1_aug,0.14133333333333334,
no20_aug,0.14133333333333334,
no21_aug,0.25933333333333336,0.5129431755102101
no22_aug,0.112,-0.25843674006727074
no23_aug,0.12066666666666667,0.4747846590839365
no24_aug,0.14133333333333334,
no25_aug,0.14133333333333334,
no2_aug,0.14133333333333334,
no3_aug,0.104,0.2975322414461439
no4_aug,0.14133333333333334,
no5_aug,0.14133333333333334,
no6_aug,0.14133333333333334,
no7_aug,0.31333333333333335,0.5915174699369271
no8_aug,0.12133333333333333,0.19255780208353668
no9_aug,0.14133333333333334,
reliable_aug,0.14133333333333334,
total_aug,0.14133333333333334,
