no1_pred,no1_score,no10_pred,no10_score,no10_aug_pred,no10_aug_score,no11_pred,no11_score,no11_aug_pred,no11_aug_score,no12_pred,no12_score,no12_aug_pred,no12_aug_score,no13_pred,no13_score,no13_aug_pred,no13_aug_score,no14_pred,no14_score,no14_aug_pred,no14_aug_score,no15_pred,no15_score,no15_aug_pred,no15_aug_score,no16_pred,no16_score,no16_aug_pred,no16_aug_score,no17_pred,no17_score,no17_aug_pred,no17_aug_score,no18_pred,no18_score,no18_aug_pred,no18_aug_score,no19_pred,no19_score,no19_aug_pred,no19_aug_score,no1_aug_pred,no1_aug_score,no2_pred,no2_score,no20_pred,no20_score,no20_aug_pred,no20_aug_score,no21_pred,no21_score,no21_aug_pred,no21_aug_score,no22_pred,no22_score,no22_aug_pred,no22_aug_score,no23_pred,no23_score,no23_aug_pred,no23_aug_score,no24_pred,no24_score,no24_aug_pred,no24_aug_score,no25_pred,no25_score,no25_aug_pred,no25_aug_score,no2_aug_pred,no2_aug_score,no3_pred,no3_score,no3_aug_pred,no3_aug_score,no4_pred,no4_score,no4_aug_pred,no4_aug_score,no5_pred,no5_score,no5_aug_pred,no5_aug_score,no6_pred,no6_score,no6_aug_pred,no6_aug_score,no7_pred,no7_score,no7_aug_pred,no7_aug_score,no8_pred,no8_score,no8_aug_pred,no8_aug_score,no9_pred,no9_score,no9_aug_pred,no9_aug_score,reliable_pred,reliable_score,reliable_aug_pred,reliable_aug_score,total_pred,total_score,total_aug_pred,total_aug_score,y
0.8755643,3.0,0.701198,2.0,0.7099188,2.0,0.70539,2.0,0.6810966,2.0,0.5982074,2.0,0.48539913,1.0,0.49355635,1.0,0.5999682,2.0,0.804109,2.0,0.8326716,2.0,0.6771541,2.0,0.62400264,2.0,0.65324986,2.0,0.59996957,2.0,0.5907896,2.0,0.61583966,2.0,0.61164004,2.0,0.5984649,2.0,0.6123027,2.0,0.6547514,2.0,0.91128594,3.0,0.64291143,2.0,0.60791487,2.0,0.5303473,2.0,0.6191816,2.0,0.66633874,2.0,0.75481534,2.0,0.67053246,2.0,0.65160763,2.0,0.61113834,2.0,0.5496682,2.0,0.6310731,2.0,0.68628114,2.0,0.6904261,2.0,0.651835,2.0,0.65473944,2.0,0.67193407,2.0,0.6319797,2.0,0.60054874,2.0,0.5892273,2.0,0.5941164,2.0,0.64847714,2.0,0.6709832,2.0,0.6420789,2.0,0.57418627,2.0,0.6296723,2.0,0.645563,2.0,0.6979444,2.0,0.69245654,2.0,0.64785683,2.0,0.61423004,2.0,0.62081695,2.0,0.6033054,2.0,3.0
0.87294555,2.0,0.705946,1.0,0.70883185,1.0,0.7055091,1.0,0.67744046,1.0,0.59620917,1.0,0.50155884,1.0,0.48060122,1.0,0.5958098,1.0,0.8048679,2.0,0.8344807,2.0,0.6760003,1.0,0.62256163,1.0,0.6534725,1.0,0.6016,1.0,0.5940635,1.0,0.61828953,1.0,0.6131328,1.0,0.5979112,1.0,0.61029226,1.0,0.6519712,1.0,0.911748,2.0,0.6438444,1.0,0.6046349,1.0,0.5333667,1.0,0.62301856,1.0,0.6655335,1.0,0.7511722,2.0,0.66896844,1.0,0.6509601,1.0,0.6036745,1.0,0.54164755,1.0,0.6318904,1.0,0.68732476,1.0,0.69013387,1.0,0.65245485,1.0,0.6532358,1.0,0.67183566,1.0,0.6282387,1.0,0.5991906,1.0,0.5903536,1.0,0.59594077,1.0,0.6346134,1.0,0.6699481,1.0,0.63770527,1.0,0.56991196,1.0,0.62764347,1.0,0.64184165,1.0,0.69527847,1.0,0.6918847,1.0,0.6505946,1.0,0.61667895,1.0,0.5927775,1.0,0.62796855,1.0,2.0
0.87369347,1.0,0.70281863,1.0,0.71100247,1.0,0.7041867,1.0,0.67837065,1.0,0.5980374,1.0,0.48538265,0.0,0.4921084,0.0,0.6022817,1.0,0.80424255,1.0,0.8340207,1.0,0.67751175,1.0,0.62243253,1.0,0.65262765,1.0,0.5975201,1.0,0.59190506,1.0,0.6175213,1.0,0.61084974,1.0,0.5977428,1.0,0.6087501,1.0,0.6553962,1.0,0.91326666,1.0,0.6428673,1.0,0.611539,1.0,0.5338622,1.0,0.61681086,1.0,0.6673497,1.0,0.759268,1.0,0.6704991,1.0,0.6507841,1.0,0.60324097,1.0,0.54971063,1.0,0.63129056,1.0,0.68636334,1.0,0.6899352,1.0,0.65028036,1.0,0.6538279,1.0,0.6737365,1.0,0.63021606,1.0,0.6013966,1.0,0.58304447,1.0,0.59586996,1.0,0.6332903,1.0,0.6695228,1.0,0.642189,1.0,0.5735567,1.0,0.62712014,1.0,0.64593875,1.0,0.6964036,1.0,0.6922389,1.0,0.65123135,1.0,0.61448294,1.0,0.6086155,1.0,0.6090311,1.0,1.0
0.87177324,2.0,0.7037769,1.0,0.7116867,1.0,0.7040975,1.0,0.66969424,1.0,0.5959587,1.0,0.5269132,1.0,0.49581835,1.0,0.62090415,1.0,0.8054215,2.0,0.833633,2.0,0.6737985,1.0,0.62663,1.0,0.65518254,1.0,0.6038295,1.0,0.6038006,1.0,0.6191515,1.0,0.60924065,1.0,0.6036118,1.0,0.60815716,1.0,0.64875245,1.0,0.9105188,2.0,0.6456821,1.0,0.5995889,1.0,0.55807906,1.0,0.62178266,1.0,0.6670225,1.0,0.730261,1.0,0.6661447,1.0,0.6515723,1.0,0.6044426,1.0,0.5382242,1.0,0.62644047,1.0,0.6876657,1.0,0.68740815,1.0,0.6499441,1.0,0.6559476,1.0,0.6723864,1.0,0.62810004,1.0,0.60231996,1.0,0.5961671,1.0,0.5960162,1.0,0.66031915,1.0,0.67324096,1.0,0.6351646,1.0,0.57157135,1.0,0.618336,1.0,0.6392,1.0,0.6992998,1.0,0.691478,1.0,0.6496762,1.0,0.6224877,1.0,0.618544,1.0,0.6004159,1.0,2.0
0.8693256,2.0,0.70670617,1.0,0.7118605,1.0,0.7008793,1.0,0.6640128,1.0,0.5964552,1.0,0.5744932,1.0,0.4518963,1.0,0.6152459,1.0,0.8021096,2.0,0.8360172,2.0,0.6711931,1.0,0.63205355,1.0,0.65868765,1.0,0.6034238,1.0,0.6103358,1.0,0.6223168,1.0,0.6151123,1.0,0.60033226,1.0,0.6094617,1.0,0.64636374,1.0,0.91357064,2.0,0.6479478,1.0,0.59452504,1.0,0.56140983,1.0,0.6226497,1.0,0.6695436,1.0,0.7069308,1.0,0.6626815,1.0,0.64774,1.0,0.5996094,1.0,0.5446497,1.0,0.6297191,1.0,0.6884147,1.0,0.6876015,1.0,0.65537447,1.0,0.6564972,1.0,0.6753509,1.0,0.62468827,1.0,0.60257703,1.0,0.6008613,1.0,0.5966497,1.0,0.66515476,1.0,0.67051303,1.0,0.62747306,1.0,0.5693261,1.0,0.6148304,1.0,0.64797205,1.0,0.697671,1.0,0.6898069,1.0,0.6424532,1.0,0.62590176,1.0,0.6246462,1.0,0.60542,1.0,2.0
0.87284636,3.0,0.70319766,2.0,0.7130256,2.0,0.70522344,2.0,0.6715574,2.0,0.59675384,2.0,0.5208488,2.0,0.490137,1.0,0.6152575,2.0,0.80340254,2.0,0.8343989,3.0,0.6747984,2.0,0.6259219,2.0,0.65643775,2.0,0.59914166,2.0,0.6008029,2.0,0.6167611,2.0,0.6149361,2.0,0.60162127,2.0,0.609677,2.0,0.6483951,2.0,0.91103965,3.0,0.6485312,2.0,0.60194546,2.0,0.55456096,2.0,0.6215547,2.0,0.66521305,2.0,0.73275536,2.0,0.66699666,2.0,0.65168595,2.0,0.60150754,2.0,0.535067,2.0,0.62955284,2.0,0.6883012,2.0,0.69001406,2.0,0.6487611,2.0,0.65377903,2.0,0.67326987,2.0,0.6256182,2.0,0.5995282,2.0,0.58893716,2.0,0.5951632,2.0,0.65036446,2.0,0.6706247,2.0,0.63557315,2.0,0.5709885,2.0,0.6230941,2.0,0.64480287,2.0,0.7007613,2.0,0.69159603,2.0,0.65162754,2.0,0.6208408,2.0,0.6153697,2.0,0.6133721,2.0,3.0
0.8715416,2.0,0.7070151,1.0,0.71131665,1.0,0.70383584,1.0,0.6658169,1.0,0.5951424,1.0,0.5531563,1.0,0.46594223,1.0,0.6164211,1.0,0.80410403,2.0,0.8337847,2.0,0.6723114,1.0,0.63002914,1.0,0.6552571,1.0,0.60370505,1.0,0.6063697,1.0,0.6191348,1.0,0.6107586,1.0,0.6041019,1.0,0.6065051,1.0,0.6491232,1.0,0.9134369,2.0,0.6470126,1.0,0.5937016,1.0,0.55099076,1.0,0.62360805,1.0,0.6672189,1.0,0.7174719,1.0,0.6645535,1.0,0.651489,1.0,0.5984642,1.0,0.54016054,1.0,0.62678367,1.0,0.6895712,1.0,0.6902183,1.0,0.6509679,1.0,0.6555477,1.0,0.67385304,1.0,0.62531537,1.0,0.6004462,1.0,0.5981441,1.0,0.5987088,1.0,0.6558813,1.0,0.6800146,1.0,0.6362737,1.0,0.5730811,1.0,0.6153941,1.0,0.6385465,1.0,0.70157737,1.0,0.6918866,1.0,0.645607,1.0,0.6242108,1.0,0.6078309,1.0,0.6207408,1.0,2.0
0.8721892,2.0,0.703812,1.0,0.7126153,1.0,0.70453763,1.0,0.6713865,1.0,0.5965808,1.0,0.53027445,1.0,0.49591845,1.0,0.61807054,1.0,0.80069304,2.0,0.8354914,2.0,0.6737765,1.0,0.62850857,1.0,0.6572155,1.0,0.601766,1.0,0.6021766,1.0,0.61675406,1.0,0.6146783,1.0,0.6019894,1.0,0.6135069,1.0,0.6479958,1.0,0.9109613,2.0,0.6492333,1.0,0.6011218,1.0,0.56008005,1.0,0.621413,1.0,0.66639465,1.0,0.7233504,1.0,0.667245,1.0,0.6507592,1.0,0.605867,1.0,0.53736854,1.0,0.62674356,1.0,0.6886316,1.0,0.6885392,1.0,0.64846057,1.0,0.654497,1.0,0.6725523,1.0,0.62723875,1.0,0.6015183,1.0,0.5946854,1.0,0.5953475,1.0,0.6590778,1.0,0.6739948,1.0,0.6337222,1.0,0.57171875,1.0,0.6220716,1.0,0.6431657,1.0,0.7017498,1.0,0.69127995,1.0,0.64921963,1.0,0.6239222,1.0,0.629922,1.0,0.6013869,1.0,2.0
0.8718859,2.0,0.70601624,1.0,0.7131523,1.0,0.7032473,1.0,0.67091763,1.0,0.5961205,1.0,0.5281739,1.0,0.49319386,1.0,0.62081516,1.0,0.8035744,2.0,0.8329369,2.0,0.6742826,1.0,0.6270356,1.0,0.6568184,1.0,0.5987236,1.0,0.6026729,1.0,0.6173634,1.0,0.6142188,1.0,0.6022384,1.0,0.61129177,1.0,0.64791024,1.0,0.9108006,2.0,0.6474234,1.0,0.59936523,1.0,0.5545181,1.0,0.62004614,1.0,0.66706926,1.0,0.7215867,1.0,0.66785765,1.0,0.6505705,1.0,0.60413295,1.0,0.53348243,1.0,0.62652814,1.0,0.68900955,1.0,0.6868312,1.0,0.6488047,1.0,0.6534726,1.0,0.6733749,1.0,0.6286924,1.0,0.600633,1.0,0.5981425,1.0,0.59575206,1.0,0.6563092,1.0,0.6748876,1.0,0.63384444,1.0,0.5699772,1.0,0.6194418,1.0,0.6389734,1.0,0.7032507,1.0,0.6910108,1.0,0.64748377,1.0,0.62417024,1.0,0.6272563,1.0,0.61179227,1.0,2.0
0.8707905,3.0,0.7051429,2.0,0.7147075,2.0,0.70322925,2.0,0.669577,2.0,0.5970245,2.0,0.54922944,2.0,0.4861755,1.0,0.61843884,2.0,0.80346024,2.0,0.8340041,3.0,0.6720714,2.0,0.6295174,2.0,0.6556648,2.0,0.60189265,2.0,0.605485,2.0,0.6198115,2.0,0.6134807,2.0,0.6016828,2.0,0.6118269,2.0,0.64983916,2.0,0.9113448,3.0,0.64736384,2.0,0.5999323,2.0,0.5583033,2.0,0.6212001,2.0,0.66823757,2.0,0.7226103,2.0,0.66608214,2.0,0.6497674,2.0,0.60131055,2.0,0.5371649,2.0,0.6272908,2.0,0.68941027,2.0,0.6868283,2.0,0.65167004,2.0,0.6545346,2.0,0.6745058,2.0,0.62648004,2.0,0.6017139,2.0,0.5957599,2.0,0.5955713,2.0,0.6485708,2.0,0.6768429,2.0,0.6345865,2.0,0.5710983,2.0,0.615229,2.0,0.63736737,2.0,0.70077866,2.0,0.6905464,2.0,0.6498952,2.0,0.6236496,2.0,0.6099376,2.0,0.6018738,2.0,3.0
