no1_pred,no1_score,no10_pred,no10_score,no10_aug_pred,no10_aug_score,no11_pred,no11_score,no11_aug_pred,no11_aug_score,no12_pred,no12_score,no12_aug_pred,no12_aug_score,no13_pred,no13_score,no13_aug_pred,no13_aug_score,no14_pred,no14_score,no14_aug_pred,no14_aug_score,no15_pred,no15_score,no15_aug_pred,no15_aug_score,no16_pred,no16_score,no16_aug_pred,no16_aug_score,no17_pred,no17_score,no17_aug_pred,no17_aug_score,no18_pred,no18_score,no18_aug_pred,no18_aug_score,no19_pred,no19_score,no19_aug_pred,no19_aug_score,no1_aug_pred,no1_aug_score,no2_pred,no2_score,no20_pred,no20_score,no20_aug_pred,no20_aug_score,no21_pred,no21_score,no21_aug_pred,no21_aug_score,no22_pred,no22_score,no22_aug_pred,no22_aug_score,no23_pred,no23_score,no23_aug_pred,no23_aug_score,no24_pred,no24_score,no24_aug_pred,no24_aug_score,no25_pred,no25_score,no25_aug_pred,no25_aug_score,no2_aug_pred,no2_aug_score,no3_pred,no3_score,no3_aug_pred,no3_aug_score,no4_pred,no4_score,no4_aug_pred,no4_aug_score,no5_pred,no5_score,no5_aug_pred,no5_aug_score,no6_pred,no6_score,no6_aug_pred,no6_aug_score,no7_pred,no7_score,no7_aug_pred,no7_aug_score,no8_pred,no8_score,no8_aug_pred,no8_aug_score,no9_pred,no9_score,no9_aug_pred,no9_aug_score,reliable_pred,reliable_score,reliable_aug_pred,reliable_aug_score,total_pred,total_score,total_aug_pred,total_aug_score,y
0.8711413,3.0,0.64459443,2.0,0.84952295,3.0,0.87467617,3.0,0.82579446,2.0,0.6826249,2.0,0.72408545,2.0,0.7097673,2.0,0.7414117,2.0,0.93662184,3.0,0.8933407,3.0,0.75831467,2.0,0.77021194,2.0,0.68836737,2.0,0.70332277,2.0,0.6949489,2.0,0.8136805,2.0,0.7336363,2.0,0.7006263,2.0,0.7884059,2.0,0.7358636,2.0,0.902397,3.0,0.7419302,2.0,0.66736513,2.0,0.7568056,2.0,0.79118633,2.0,0.76478195,2.0,0.7933463,2.0,0.7901115,2.0,0.7792241,2.0,0.8944172,3.0,0.75695527,2.0,0.7746567,2.0,0.7870463,2.0,0.8575412,3.0,0.64850926,2.0,0.8054421,2.0,0.7911484,2.0,0.64783126,2.0,0.68121004,2.0,0.7018754,2.0,0.6272972,2.0,0.81157017,2.0,0.8353112,3.0,0.7769023,2.0,0.7993255,2.0,0.782945,2.0,0.75994843,2.0,0.8375561,3.0,0.8008835,2.0,0.7276355,2.0,0.72803044,2.0,0.78038895,2.0,0.760124,2.0,3.0
0.86891276,2.0,0.6412249,1.0,0.84500957,2.0,0.87283415,2.0,0.82331496,2.0,0.67945683,1.0,0.7219425,1.0,0.71001446,1.0,0.7447519,1.0,0.94147474,2.0,0.8912275,2.0,0.7595951,2.0,0.76934415,2.0,0.68678993,1.0,0.7016734,1.0,0.6924882,1.0,0.8045266,2.0,0.73185706,1.0,0.6978502,1.0,0.7803708,2.0,0.73826283,1.0,0.8992798,2.0,0.75426054,2.0,0.6616612,1.0,0.74991137,1.0,0.79557735,2.0,0.7552935,2.0,0.79062647,2.0,0.79093933,2.0,0.7826978,2.0,0.8927925,2.0,0.7525268,2.0,0.7736384,2.0,0.7855819,2.0,0.8560097,2.0,0.6504252,1.0,0.8039115,2.0,0.7891101,2.0,0.6852236,1.0,0.6775648,1.0,0.7004701,1.0,0.6304994,1.0,0.8144813,2.0,0.8332887,2.0,0.7794348,2.0,0.79905534,2.0,0.78529245,2.0,0.75968885,2.0,0.8384158,2.0,0.80361766,2.0,0.72773033,1.0,0.7286852,1.0,0.77985436,2.0,0.7773772,2.0,2.0
0.8697281,1.0,0.6449396,1.0,0.8500465,1.0,0.8742486,1.0,0.8253796,1.0,0.6832444,1.0,0.7240368,1.0,0.7097645,1.0,0.74111474,1.0,0.93725216,1.0,0.89127505,1.0,0.7587795,1.0,0.76990885,1.0,0.6866902,1.0,0.703941,1.0,0.69776285,1.0,0.82022464,1.0,0.73345655,1.0,0.70076436,1.0,0.7859523,1.0,0.7371853,1.0,0.901405,1.0,0.7467584,1.0,0.66975605,1.0,0.7542837,1.0,0.79340833,1.0,0.7539197,1.0,0.7935628,1.0,0.7900254,1.0,0.77810544,1.0,0.8999317,1.0,0.75197154,1.0,0.77408326,1.0,0.78222346,1.0,0.85812306,1.0,0.64879626,1.0,0.80412894,1.0,0.79121095,1.0,0.6575189,1.0,0.6784544,1.0,0.69833386,1.0,0.6322888,1.0,0.8126591,1.0,0.83576465,1.0,0.7763721,1.0,0.80022717,1.0,0.78400743,1.0,0.760788,1.0,0.84034795,1.0,0.8015231,1.0,0.72769487,1.0,0.72769946,1.0,0.77925014,1.0,0.766114,1.0,1.0
0.8692911,2.0,0.6348478,1.0,0.82809305,2.0,0.8669096,2.0,0.8225569,2.0,0.67825574,1.0,0.7231306,1.0,0.7167181,1.0,0.73978925,1.0,0.94397235,2.0,0.89278394,2.0,0.75912327,2.0,0.7739475,2.0,0.6894105,1.0,0.70133185,1.0,0.69710153,1.0,0.80285496,2.0,0.73089355,1.0,0.7047483,1.0,0.77636945,2.0,0.73072,1.0,0.9015427,2.0,0.7406199,1.0,0.66704905,1.0,0.75916576,2.0,0.8002861,2.0,0.7665608,2.0,0.79392797,2.0,0.79251295,2.0,0.79212296,2.0,0.86527973,2.0,0.754422,2.0,0.7823899,2.0,0.78859496,2.0,0.85301995,2.0,0.6408978,1.0,0.8054924,2.0,0.7910383,2.0,0.7076026,1.0,0.67781055,1.0,0.70087564,1.0,0.6310391,1.0,0.81544936,2.0,0.83843714,2.0,0.779353,2.0,0.7998327,2.0,0.78401345,2.0,0.757745,2.0,0.83665603,2.0,0.8055499,2.0,0.7281094,1.0,0.72855526,1.0,0.7810932,2.0,0.7621146,2.0,2.0
0.8732046,2.0,0.66457164,1.0,0.8266332,2.0,0.8638605,2.0,0.8252306,2.0,0.67089087,1.0,0.72566676,1.0,0.7152408,1.0,0.73949325,1.0,0.9485716,2.0,0.8958269,2.0,0.7603965,2.0,0.7768584,2.0,0.69289666,1.0,0.7015598,1.0,0.70805097,1.0,0.7794119,2.0,0.7255844,1.0,0.70437014,1.0,0.7716718,2.0,0.7414786,1.0,0.90179384,2.0,0.7462122,1.0,0.66716146,1.0,0.7789901,2.0,0.79882306,2.0,0.7649977,2.0,0.7973984,2.0,0.79559493,2.0,0.7969548,2.0,0.85676533,2.0,0.75332963,2.0,0.7884574,2.0,0.8103889,2.0,0.850275,2.0,0.63566744,1.0,0.806965,2.0,0.78876156,2.0,0.70630777,1.0,0.69204247,1.0,0.69561434,1.0,0.62955517,1.0,0.81601477,2.0,0.8342587,2.0,0.777184,2.0,0.80118525,2.0,0.7846001,2.0,0.75494665,2.0,0.8508416,2.0,0.8057707,2.0,0.7281441,1.0,0.73124886,1.0,0.7790691,2.0,0.75332165,2.0,2.0
0.8677643,3.0,0.6356285,2.0,0.83218664,2.0,0.8685948,3.0,0.8246633,2.0,0.6808148,2.0,0.72162515,2.0,0.7169813,2.0,0.7427295,2.0,0.9429695,3.0,0.8913151,3.0,0.7589986,2.0,0.77015847,2.0,0.68952525,2.0,0.7022298,2.0,0.7004872,2.0,0.8114865,2.0,0.7285309,2.0,0.7023239,2.0,0.77867496,2.0,0.7380995,2.0,0.9002801,3.0,0.7526511,2.0,0.6686848,2.0,0.74736613,2.0,0.80330956,2.0,0.7622666,2.0,0.79319715,2.0,0.79277855,2.0,0.78628767,2.0,0.8909165,3.0,0.7542014,2.0,0.7798494,2.0,0.7858674,2.0,0.85474235,3.0,0.6424314,2.0,0.8049651,2.0,0.7901169,2.0,0.6968682,2.0,0.68065196,2.0,0.69819003,2.0,0.6313719,2.0,0.8186266,2.0,0.83455694,3.0,0.7780863,2.0,0.79926616,2.0,0.78588176,2.0,0.7593954,2.0,0.8372662,3.0,0.80546045,2.0,0.72978675,2.0,0.7279764,2.0,0.78123397,2.0,0.76703864,2.0,3.0
0.8721608,2.0,0.6410752,1.0,0.8291306,2.0,0.8691334,2.0,0.8252222,2.0,0.6723932,1.0,0.72421396,1.0,0.7159876,1.0,0.7398756,1.0,0.9453936,2.0,0.89458585,2.0,0.7596398,2.0,0.7748582,2.0,0.6894271,1.0,0.70213836,1.0,0.69646776,1.0,0.78359205,2.0,0.7264691,1.0,0.7017342,1.0,0.7748131,2.0,0.7413804,1.0,0.9010759,2.0,0.74334663,1.0,0.6624594,1.0,0.7670377,2.0,0.7942985,2.0,0.76279265,2.0,0.79568523,2.0,0.79336476,2.0,0.80022246,2.0,0.8431886,2.0,0.75277674,2.0,0.7850348,2.0,0.7867874,2.0,0.85385543,2.0,0.6424253,1.0,0.8052449,2.0,0.78889525,2.0,0.6689584,1.0,0.6781036,1.0,0.6977091,1.0,0.6308972,1.0,0.814756,2.0,0.8376758,2.0,0.7802976,2.0,0.8004957,2.0,0.784713,2.0,0.75697917,2.0,0.8466972,2.0,0.805044,2.0,0.72777885,1.0,0.73067945,1.0,0.78058845,2.0,0.7588277,2.0,2.0
0.86506987,2.0,0.6379684,1.0,0.8274913,2.0,0.8688396,2.0,0.8246261,2.0,0.6792707,1.0,0.72260743,1.0,0.71772915,1.0,0.7419458,1.0,0.9441317,2.0,0.8936026,2.0,0.7578628,2.0,0.7739885,2.0,0.69116825,1.0,0.7006553,1.0,0.6982446,1.0,0.8051802,2.0,0.7312353,1.0,0.70275784,1.0,0.77866584,2.0,0.73273563,1.0,0.90134376,2.0,0.74616355,1.0,0.66304547,1.0,0.76122195,2.0,0.8038676,2.0,0.76922154,2.0,0.79509634,2.0,0.79290354,2.0,0.794359,2.0,0.858772,2.0,0.7558314,2.0,0.78169584,2.0,0.79259324,2.0,0.85504156,2.0,0.6421563,1.0,0.80606145,2.0,0.78946507,2.0,0.6929591,1.0,0.6802475,1.0,0.70117986,1.0,0.6257861,1.0,0.818238,2.0,0.8373636,2.0,0.7791426,2.0,0.79792416,2.0,0.78279656,2.0,0.7590817,2.0,0.83866227,2.0,0.80518395,2.0,0.72857517,1.0,0.7289151,1.0,0.7788895,2.0,0.751237,2.0,2.0
0.8654146,2.0,0.6270198,1.0,0.8277229,2.0,0.8680205,2.0,0.8215978,2.0,0.6784455,1.0,0.7226909,1.0,0.71744466,1.0,0.74191207,1.0,0.9424438,2.0,0.89422643,2.0,0.7589393,2.0,0.7719164,2.0,0.6916,1.0,0.70186865,1.0,0.6972643,1.0,0.81250733,2.0,0.7289891,1.0,0.70503867,1.0,0.77669376,2.0,0.73448366,1.0,0.9012046,2.0,0.745148,1.0,0.66518605,1.0,0.752297,2.0,0.80193573,2.0,0.76352537,2.0,0.7959248,2.0,0.7927077,2.0,0.7916428,2.0,0.8683328,2.0,0.752105,2.0,0.7826861,2.0,0.7861345,2.0,0.8557726,2.0,0.6424562,1.0,0.80519587,2.0,0.78886396,2.0,0.6883464,1.0,0.67901504,1.0,0.7007258,1.0,0.6287808,1.0,0.81767493,2.0,0.8367467,2.0,0.7788646,2.0,0.79849243,2.0,0.7844439,2.0,0.7582081,2.0,0.84281325,2.0,0.80460936,2.0,0.72875476,1.0,0.7285329,1.0,0.7801502,2.0,0.76909614,2.0,2.0
0.8694193,3.0,0.63412935,2.0,0.82831454,2.0,0.86861134,3.0,0.82527006,2.0,0.6758341,2.0,0.72352225,2.0,0.71551645,2.0,0.7400656,2.0,0.9435496,3.0,0.8922696,3.0,0.7596633,2.0,0.7746391,2.0,0.68964803,2.0,0.70126945,2.0,0.69865775,2.0,0.81586355,2.0,0.7308543,2.0,0.70397276,2.0,0.7786935,2.0,0.7360463,2.0,0.9010725,3.0,0.74543905,2.0,0.66564673,2.0,0.760552,2.0,0.80099136,2.0,0.75813264,2.0,0.7957291,2.0,0.79294485,2.0,0.7957298,2.0,0.85194504,3.0,0.7504177,2.0,0.7840313,2.0,0.7860645,2.0,0.8545987,3.0,0.64226425,2.0,0.8053809,2.0,0.79053414,2.0,0.6906369,2.0,0.6770544,2.0,0.6986928,2.0,0.6307574,2.0,0.8171439,2.0,0.8373314,3.0,0.7800636,2.0,0.7997344,2.0,0.7829301,2.0,0.75732744,2.0,0.8503436,3.0,0.80570775,2.0,0.72876596,2.0,0.7292733,2.0,0.77931404,2.0,0.7606783,2.0,3.0
