no1_pred,no1_score,no10_pred,no10_score,no10_aug_pred,no10_aug_score,no11_pred,no11_score,no11_aug_pred,no11_aug_score,no12_pred,no12_score,no12_aug_pred,no12_aug_score,no13_pred,no13_score,no13_aug_pred,no13_aug_score,no14_pred,no14_score,no14_aug_pred,no14_aug_score,no15_pred,no15_score,no15_aug_pred,no15_aug_score,no16_pred,no16_score,no16_aug_pred,no16_aug_score,no17_pred,no17_score,no17_aug_pred,no17_aug_score,no18_pred,no18_score,no18_aug_pred,no18_aug_score,no19_pred,no19_score,no19_aug_pred,no19_aug_score,no1_aug_pred,no1_aug_score,no2_pred,no2_score,no20_pred,no20_score,no20_aug_pred,no20_aug_score,no21_pred,no21_score,no21_aug_pred,no21_aug_score,no22_pred,no22_score,no22_aug_pred,no22_aug_score,no23_pred,no23_score,no23_aug_pred,no23_aug_score,no24_pred,no24_score,no24_aug_pred,no24_aug_score,no25_pred,no25_score,no25_aug_pred,no25_aug_score,no2_aug_pred,no2_aug_score,no3_pred,no3_score,no3_aug_pred,no3_aug_score,no4_pred,no4_score,no4_aug_pred,no4_aug_score,no5_pred,no5_score,no5_aug_pred,no5_aug_score,no6_pred,no6_score,no6_aug_pred,no6_aug_score,no7_pred,no7_score,no7_aug_pred,no7_aug_score,no8_pred,no8_score,no8_aug_pred,no8_aug_score,no9_pred,no9_score,no9_aug_pred,no9_aug_score,reliable_pred,reliable_score,reliable_aug_pred,reliable_aug_score,total_pred,total_score,total_aug_pred,total_aug_score,y
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7608573,2.0,0.0,0.0,0.7734885,2.0,0.0,0.0,0.0,0.0,0.45439327,1.0,0.88091886,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13469155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7883622,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017963792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10321113,0.0,0.14121878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62175316,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7704236,2.0,0.0,0.0,0.7631498,2.0,0.0,0.0,0.0,0.0,0.43425572,1.0,0.88819814,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14079297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85496515,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021740295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16122417,0.0,0.11399451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6066873,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75916463,1.0,0.0,0.0,0.7706451,1.0,0.0,0.0,0.0,0.0,0.44817868,0.0,0.8720852,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1330631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7818797,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006996907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12147847,0.0,0.11427593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6275913,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75224364,2.0,0.0,0.0,0.7261839,1.0,0.0,0.0,0.0,0.0,0.43434083,1.0,0.8894368,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089325845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9074599,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033927083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07442675,0.0,0.13549954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53823215,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7177345,1.0,0.0,0.0,0.6989744,1.0,0.0,0.0,0.0,0.0,0.43152076,1.0,0.8866598,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0640231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82767594,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07143423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19730827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51327384,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76280737,2.0,0.0,0.0,0.7337704,2.0,0.0,0.0,0.0,0.0,0.4418803,1.0,0.88155437,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10235961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91431385,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021783039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088293985,0.0,0.17714861,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5219267,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.755152,2.0,0.0,0.0,0.70860296,1.0,0.0,0.0,0.0,0.0,0.41126686,1.0,0.8979874,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94678146,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06877911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04608483,0.0,0.21027607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53501624,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7638887,2.0,0.0,0.0,0.73491096,1.0,0.0,0.0,0.0,0.0,0.4344523,1.0,0.8799864,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09201801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89342713,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036753997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08331638,0.0,0.15741563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5069206,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7624873,2.0,0.0,0.0,0.72895783,1.0,0.0,0.0,0.0,0.0,0.4293594,1.0,0.8906358,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09054281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8930975,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036635704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08122788,0.0,0.13396192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5256563,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75879896,2.0,0.0,0.0,0.72504896,2.0,0.0,0.0,0.0,0.0,0.41748095,1.0,0.8861084,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08519046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8946335,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049287505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07761359,0.0,0.114233434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5273282,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
