,accuracy,corr
no1,0.10733333333333334,0.5411748825159082
no2,0.14133333333333334,
no3,0.14133333333333334,
no4,0.14133333333333334,
no5,0.14133333333333334,
no6,0.12066666666666667,0.4747846590839365
no7,0.104,0.33973498076826397
no8,0.14133333333333334,
no9,0.14133333333333334,
no10,0.14133333333333334,
no11,0.14133333333333334,
no12,0.14133333333333334,
no13,0.14133333333333334,
no14,0.14133333333333334,
no15,0.14133333333333334,
no16,0.14133333333333334,
no17,0.14133333333333334,
no18,0.25933333333333336,0.5129431755102101
no19,0.14133333333333334,
no20,0.14133333333333334,
no21,0.14133333333333334,
no22,0.112,0.39174488859490547
no23,0.14133333333333334,
no24,0.10066666666666667,0.35021738817581793
no25,0.14133333333333334,
total,0.14133333333333334,
reliable,0.14133333333333334,
no10_aug,0.14133333333333334,
no11_aug,0.14133333333333334,
no12_aug,0.15866666666666668,0.3366392600513265
no13_aug,0.14133333333333334,
no14_aug,0.14133333333333334,
no15_aug,0.14133333333333334,
no16_aug,0.14133333333333334,
no17_aug,0.14133333333333334,
no18_aug,0.14133333333333334,
no19_aug,0.14133333333333334,
no1_aug,0.14133333333333334,
no20_aug,0.108,-0.16417254902744968
no21_aug,0.14133333333333334,
no22_aug,0.14133333333333334,
no23_aug,0.14133333333333334,
no24_aug,0.14133333333333334,
no25_aug,0.14133333333333334,
no2_aug,0.14133333333333334,
no3_aug,0.114,-0.27510512211218846
no4_aug,0.14133333333333334,
no5_aug,0.7106666666666667,0.584049010902855
no6_aug,0.14133333333333334,
no7_aug,0.26,0.49430633841273214
no8_aug,0.13666666666666666,-0.058403868767037105
no9_aug,0.26,0.5169214884634854
reliable_aug,0.14133333333333334,
total_aug,0.14133333333333334,
