no1_pred,no1_score,no10_pred,no10_score,no10_aug_pred,no10_aug_score,no11_pred,no11_score,no11_aug_pred,no11_aug_score,no12_pred,no12_score,no12_aug_pred,no12_aug_score,no13_pred,no13_score,no13_aug_pred,no13_aug_score,no14_pred,no14_score,no14_aug_pred,no14_aug_score,no15_pred,no15_score,no15_aug_pred,no15_aug_score,no16_pred,no16_score,no16_aug_pred,no16_aug_score,no17_pred,no17_score,no17_aug_pred,no17_aug_score,no18_pred,no18_score,no18_aug_pred,no18_aug_score,no19_pred,no19_score,no19_aug_pred,no19_aug_score,no1_aug_pred,no1_aug_score,no2_pred,no2_score,no20_pred,no20_score,no20_aug_pred,no20_aug_score,no21_pred,no21_score,no21_aug_pred,no21_aug_score,no22_pred,no22_score,no22_aug_pred,no22_aug_score,no23_pred,no23_score,no23_aug_pred,no23_aug_score,no24_pred,no24_score,no24_aug_pred,no24_aug_score,no25_pred,no25_score,no25_aug_pred,no25_aug_score,no2_aug_pred,no2_aug_score,no3_pred,no3_score,no3_aug_pred,no3_aug_score,no4_pred,no4_score,no4_aug_pred,no4_aug_score,no5_pred,no5_score,no5_aug_pred,no5_aug_score,no6_pred,no6_score,no6_aug_pred,no6_aug_score,no7_pred,no7_score,no7_aug_pred,no7_aug_score,no8_pred,no8_score,no8_aug_pred,no8_aug_score,no9_pred,no9_score,no9_aug_pred,no9_aug_score,reliable_pred,reliable_score,reliable_aug_pred,reliable_aug_score,total_pred,total_score,total_aug_pred,total_aug_score,y
1.4863633,4.0,0.07950761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6129622,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044510353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.652639,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24150968,1.0,0.0,0.0,0.0,0.0,0.2349123,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23711921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14724356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84051406,3.0,0.360114,1.0,0.0,0.0,0.22764288,1.0,0.6541855,2.0,0.0,0.0,0.080411546,0.0,0.0,0.0,0.5116922,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1.529563,3.0,0.0632936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60511,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04743064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6309017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24242763,0.0,0.0,0.0,0.0,0.0,0.2454512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24959846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15048614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83434796,2.0,0.37782624,1.0,0.0,0.0,0.25294635,1.0,0.63617045,1.0,0.0,0.0,0.07266958,0.0,0.0,0.0,0.5167399,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.4828526,1.0,0.0842315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60969895,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049624298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65851337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24580918,0.0,0.0,0.0,0.0,0.0,0.2406111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25454345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13786054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8457892,1.0,0.36453226,0.0,0.0,0.0,0.24104482,0.0,0.6492327,1.0,0.0,0.0,0.076071836,0.0,0.0,0.0,0.5040277,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.484005,3.0,0.07396466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5524376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07800273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6264021,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20504129,0.0,0.0,0.0,0.0,0.0,0.23810023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21479161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09081152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84085953,2.0,0.39550355,1.0,0.0,0.0,0.21288107,0.0,0.6015161,1.0,0.0,0.0,0.0019347024,0.0,0.0,0.0,0.5510411,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.5355728,3.0,0.06263556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51034653,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083741225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62019575,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16520703,0.0,0.0,0.0,0.0,0.0,0.25644472,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20538144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040614206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8427714,2.0,0.39879602,1.0,0.0,0.0,0.20291932,0.0,0.6228752,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57874745,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.4750322,4.0,0.069264464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56587875,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07245199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6400088,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21060802,1.0,0.0,0.0,0.0,0.0,0.24879397,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23627028,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08848107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8313844,2.0,0.39713994,1.0,0.0,0.0,0.23503534,1.0,0.61387527,2.0,0.0,0.0,0.018511565,0.0,0.0,0.0,0.53040874,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1.5527185,3.0,0.0698219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53778136,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0856506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59592396,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19228868,0.0,0.0,0.0,0.0,0.0,0.24739303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21815395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07096366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8533327,2.0,0.4042129,1.0,0.0,0.0,0.2068282,0.0,0.5968379,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5799418,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.48343,3.0,0.07691135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5491791,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.080367275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6141481,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20285101,0.0,0.0,0.0,0.0,0.0,0.24717873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21862172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09154342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8359938,2.0,0.39243373,1.0,0.0,0.0,0.22396715,0.0,0.5913133,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5456231,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.5035508,3.0,0.07010672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55215794,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07944787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6232432,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20438926,0.0,0.0,0.0,0.0,0.0,0.24304518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22492415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091486745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8463542,2.0,0.39378607,1.0,0.0,0.0,0.21821325,0.0,0.60775733,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53919864,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.5377915,5.0,0.074616365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5272231,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08607597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6089506,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1929494,1.0,0.0,0.0,0.0,0.0,0.2473058,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23202552,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.079423286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84632254,3.0,0.40031153,1.0,0.0,0.0,0.2204295,1.0,0.6003218,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5478139,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
